id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
0,-1.8609622882354977,1.1999264977227824,0.0,0.0,0.0,-0.4014608099309416,0.9158762023819553
1,3.2715363169565967,-3.179218729610372,0.0,0.0,0.0,-0.387016245331026,0.9220728961692102
2,7.585624165257425,-7.493370106069754,0.0,0.0,0.0,-0.4010838813568513,0.9160413310084449
3,12.886912833356817,-3.5993651792944066,0.0,0.0,0.0,0.3505359107977674,0.9365492914103238
4,20.112736778045647,3.1993842839853754,0.0,0.0,0.0,0.3529027117473782,0.9356600216111336
5,28.121434874438798,10.966094608741166,0.0,0.0,0.0,0.33170544793546175,0.943383005894178
6,26.06328181104322,12.410332684023233,0.0,0.0,0.0,0.9788442323290764,0.20460686409820486
7,19.6731643688373,14.958436196300582,0.0,0.0,0.0,0.9831756172533852,0.18266281952938573
8,12.352798705785846,17.21258225057123,0.0,0.0,0.0,0.9833870141535686,0.18152129460239436
9,1.6773029632031422,20.295709925558956,0.0,0.0,0.0,0.9928949168905135,0.11899447051430768
10,-7.415383710450079,22.680244372299022,0.0,0.0,0.0,0.9932548604043973,0.1159516376902078
11,-15.265640377825203,24.788932728363704,0.0,0.0,0.0,0.9885158323726563,0.15111733569843813
12,-21.826280521559212,26.396578913272332,0.0,0.0,0.0,0.991614166883838,0.12923367995716872
13,-28.831010808440507,27.95875919537452,0.0,0.0,0.0,0.993799873323942,0.11118368487020318
14,-28.637808878828736,24.516092579045992,0.0,0.0,0.0,-0.42135861889085535,0.9068941031269256
15,-23.91781233027206,19.587263571387922,0.0,0.0,0.0,-0.40218912884271457,0.9155566091950504
16,-18.820794294514087,14.328549625186639,0.0,0.0,0.0,-0.41603978006003756,0.9093464144139985
17,-13.200330544595953,9.38488542524442,0.0,0.0,0.0,-0.3145444385729705,0.9492427488070766
18,-6.096251557934754,5.306511003046387,0.0,0.0,0.0,-0.42169259700173967,0.9067388563604895
