id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,skip_flag
0,-6.14691281289902,4.8526115494862,0,0,0,-0.39099138439306,0.920394337949989,1
1,-1.11338828975018,0.866581983142698,0,0,0,-0.373765714608325,0.927523148273577,1
2,2.93340422550513,-3.06154761198712,0,0,0,-0.384145157710681,0.923272710420619,1
3,7.95903396607463,-7.70072055232009,0,0,0,0.238912373218039,0.971041130912241,1
4,12.5221640813518,-4.10642474540703,0,0,0,0.35752806309538,0.93390239538148,1
5,18.485454545949,1.67426597827699,0,0,0,0.366777542369555,0.930308676952628,1
6,23.7009018865154,6.74982643362156,0,0,0,0.353244894645452,0.935530889071507,1
7,27.9205874753397,11.6362393511907,0,0,0,0.958255868376085,0.285912033189921,1
8,20.1461649173351,14.9131942936707,0,0,0,0.98769841073439,0.156370871433145,1
9,10.4552999719393,17.8789766339066,0,0,0,0.990172814439014,0.139849195728549,1
10,1.59593655344137,20.3729311712127,0,0,0,0.993024410232569,0.117908950814849,1
11,-6.5795564268427,22.5387855386996,0,0,0,0.991033680088446,0.133612293335426,1
12,-15.9536406837502,24.9592030566925,0,0,0,0.994209200022573,0.107461930889387,1
13,-23.1872183677113,26.9974076600193,0,0,0,0.989488025877892,0.144614821661795,1
14,-30.0475027031484,28.3343767043523,0,0,0,-0.56626701001705,0.824221859311163,1
15,-28.7988353671684,25.323025080713,0,0,0,-0.513185752288659,0.858277567951023,1
16,-21.3315273803012,17.1339213547439,0,0,0,-0.415461418042238,0.909610801452101,1
17,-14.0217559222295,10.2430100941833,0,0,0,-0.345581447178869,0.93838875918553,1
18,-6.2197187934679,5.12814624282093,0,0,0,-0.400002912978172,0.916513867657755,1
